CUUNIT,CUDESC,CUTYPE,CUTABL,CUPROM,CUOBSO,CUUNDR,CUMSTI,CUSUBI,CUSYMB,CUSEL1,CUSEL2,CUSEL3,CUSEL4,CUSEL5,CUATR1,CUATR2,CUATR3,CUATR4,CUATR5,CUCOLD,CUHOT,CURMV,CUFERC,CUFEAT,CUKIND,CUADDI,CURNUM,CURDTE,CURDES,CUEFCC,CUEFYY,CUEFMM,CUEFDD,CUCRCC,CUCRYY,CUCRMM,CUCRDD,CUCRTT,CUCRUU,CUCHCC,CUCHYY,CUCHMM,CUCHDD,CUCHTT,CUCHUU
101.11,Obsolete UG Spec-Submersible Xfmr vault installation w/3way S.B.T. jct.+221.40,S,SITEINV,Obsolete UG Specs,O,UD,UG CONSTRUCTION,UGSUBASS,35,Obsolete,,,,Obsolete,,,,,,,,,366,NONGIS,624,,1,01/96,REVISION TO NEW FORMAT,19,96,1,16,19,96,1,2,0,,20,5,4,15,113217,DDAWSON
101.50,Obsolete Underground Spec-Unknown,S,SITEINV,Obsolete UG Specs,O,UD,UG CONSTRUCTION,UGSUBASS,0,Obsolete,,,,Obsolete,,,,,,,,,368,NONGIS,323,,1,01/96,REVISION TO NEW FORMAT,19,96,1,16,19,96,1,2,0,,20,5,4,15,113217,DDAWSON
101.60,Obsolete Underground Spec-locator rod  round tile with lid  coil location,S,SITEINV,Obsolete UG Specs,O,UD,UG CONSTRUCTION,UGSUBASS,35,Obsolete,,,,Obsolete,,,,,,,,,367,NONGIS,634,,1,01/96,REVISION TO NEW FORMAT,19,96,1,16,19,96,1,2,0,,20,5,4,15,113217,DDAWSON
102.01,Obsolete UG Spec-Submersible Xfmr vault inst. For 2 ph w/extra vault +221.40(2),S,SITEINV,Obsolete UG Specs,O,UD,UG CONSTRUCTION,UGSUBASS,0,Obsolete,,,,Obsolete,,,,,,,,,366,NONGIS,335,,1,01/96,REVISION TO NEW FORMAT,19,96,1,16,19,96,1,2,0,,20,5,4,15,113217,DDAWSON
10MALWLD,10 M ALUMOWELD GUY WIRE,W,SITEINV,OH Primary,A,OT,CONDUCTORS,TRANSMCON,10,GUYWIRE,10M,,,Active,10M,ALWD,BARE,,SG10M,,,,356,CKT,,36,1.1,04/10,CHANGED TO TRASMISSION AND SYMBOLISED,19,96,1,16,19,96,1,2,12,MNess,20,10,4,21,81707,MNESS
11010S,"ANCHOR, ROD, 5/8"" X 7' TWINEYE.",N,SITEINV,Stock Number Assm,A,,STOCK,OHM,0,ANC,,,,,,,,,,,,,364,NONGIS,,99,1,1/99,ADDED STOCK AS ASSMBLIES,19,95,1,1,0,0,0,0,0,MNess,20,5,4,15,113443,DDAWSON
11011S,"ANCHOR, ROD, 3/4"" X 9'",N,SITEINV,Stock Number Assm,A,,STOCK,OHM,0,ANC,,,,,,,,,,,,,364,NONGIS,,99,1,1/99,ADDED STOCK AS ASSMBLIES,19,95,1,1,0,0,0,0,0,MNess,20,5,4,15,113443,DDAWSON
11012S,"ANCHOR, ROD, 1"" X 10', TRIPLE EYE",N,SITEINV,Stock Number Assm,A,,STOCK,OHM,0,ANC,,,,,,,,,,,,,364,NONGIS,,99,1,1/99,ADDED STOCK AS ASSMBLIES,19,95,1,1,0,0,0,0,0,MNess,20,5,4,15,113443,DDAWSON
11013S,"EYE, AUXILIARY, 5/8"", ROD.",N,SITEINV,Stock Number Assm,A,,STOCK,OHM,0,ANC,,,,,,,,,,,,,364,NONGIS,,99,1,1/99,ADDED STOCK AS ASSMBLIES,19,95,1,1,0,0,0,0,0,MNess,20,5,4,15,113443,DDAWSON
11014S,"EYE, AUXILIARY, 1"", ROD.",N,SITEINV,Stock Number Assm,A,,STOCK,OHM,0,ANC,,,,,,,,,,,,,364,NONGIS,,99,1,1/99,ADDED STOCK AS ASSMBLIES,19,95,1,1,0,0,0,0,0,MNess,20,5,4,15,113441,DDAWSON
